talker_2	talker_1	phone_2	phone_1	by	score	n
24	1	hh	dh	iy-ae	0.803571428571	168
24	1	hh	k	iy-ae	0.785714285714	56
24	1	k	dh	iy-ae	0.916666666667	96
24	1	k	hh	iy-ae	0.7	280
24	20	dh	hh	iy-ae	0.1	320
24	20	dh	k	iy-ae	0.4375	16
24	20	hh	dh	iy-ae	0.859375	192
24	20	hh	k	iy-ae	0.625	32
24	20	k	dh	iy-ae	0.833333333333	48
24	20	k	hh	iy-ae	0.50625	160
24	23	dh	hh	iy-ae	0.443333333333	900
24	23	dh	k	iy-ae	0.525	80
24	23	hh	dh	iy-ae	0.672222222222	540
24	23	hh	k	iy-ae	0.513888888889	72
24	23	k	dh	iy-ae	0.8625	240
24	23	k	hh	iy-ae	0.9	360
24	25	dh	hh	iy-ae	0.1175	400
24	25	dh	k	iy-ae	0.34375	32
24	25	hh	dh	iy-ae	0.975	240
24	25	hh	k	iy-ae	0.7	80
24	25	k	dh	iy-ae	0.989583333333	96
24	25	k	hh	iy-ae	0.815	400
24	26	dh	hh	iy-ae	0.714285714286	70
24	26	dh	k	iy-ae	1.0	8
24	26	hh	dh	iy-ae	0.214285714286	42
24	26	hh	k	iy-ae	0.839285714286	56
24	26	k	dh	iy-ae	0.333333333333	24
24	26	k	hh	iy-ae	0.703571428571	280
24	27	dh	hh	iy-ae	0.26	100
24	27	dh	k	iy-ae	0.416666666667	12
24	27	hh	dh	iy-ae	0.8	60
24	27	hh	k	iy-ae	0.608333333333	120
24	27	k	dh	iy-ae	0.944444444444	36
24	27	k	hh	iy-ae	0.846666666667	600
24	29	dh	hh	iy-ae	0.21	600
24	29	dh	k	iy-ae	0.25	24
24	29	hh	dh	iy-ae	0.861111111111	360
24	29	hh	k	iy-ae	0.2	40
24	29	k	dh	iy-ae	1.0	72
24	29	k	hh	iy-ae	0.99	200
24	30	dh	hh	iy-ae	0.575555555556	900
24	30	dh	k	iy-ae	0.481481481481	54
24	30	hh	dh	iy-ae	0.518518518519	540
24	30	hh	k	iy-ae	0.533333333333	60
24	30	k	dh	iy-ae	0.950617283951	162
24	30	k	hh	iy-ae	0.873333333333	300
24	31	dh	hh	iy-ae	0.062	500
24	31	dh	k	iy-ae	0.45	20
24	31	hh	dh	iy-ae	0.91	300
24	31	hh	k	iy-ae	0.7	40
24	31	k	dh	iy-ae	0.783333333333	60
24	31	k	hh	iy-ae	0.535	200
24	32	dh	hh	iy-ae	0.466666666667	480
24	32	dh	k	iy-ae	0.354166666667	48
24	32	hh	dh	iy-ae	0.659722222222	288
24	32	hh	k	iy-ae	0.421875	64
24	32	k	dh	iy-ae	0.6875	144
24	32	k	hh	iy-ae	0.809375	320
24	33	dh	hh	iy-ae	0.364	250
24	33	dh	k	iy-ae	0.54	50
24	33	hh	dh	iy-ae	0.68	150
24	33	hh	k	iy-ae	0.68	50
24	33	k	dh	iy-ae	0.906666666667	150
24	33	k	hh	iy-ae	0.728	250
25	1	dh	hh	iy-ae	0.735714285714	280
25	1	dh	k	iy-ae	0.9375	64
25	1	hh	dh	iy-ae	0.785714285714	112
25	1	hh	k	iy-ae	0.964285714286	112
25	1	k	dh	iy-ae	0.796875	64
25	1	k	hh	iy-ae	0.742857142857	280
25	20	dh	hh	iy-ae	0.71875	320
25	20	dh	k	iy-ae	0.65625	32
25	20	hh	dh	iy-ae	0.859375	128
