talker_2	talker_1	phone_2	phone_1	by	score	n
1	30	er	ey	dh-SIL	0.746666666667	450
1	30	er	iy	dh-SIL	0.558	500
1	30	ey	er	dh-SIL	0.486666666667	300
1	30	ey	iy	dh-SIL	0.577	1000
1	30	iy	er	dh-SIL	0.523333333333	300
1	30	iy	ey	dh-SIL	0.657777777778	900
1	31	er	ey	dh-SIL	0.888888888889	450
1	31	er	iy	dh-SIL	0.678	500
1	31	ey	er	dh-SIL	0.793333333333	300
1	31	ey	iy	dh-SIL	0.769	1000
1	31	iy	er	dh-SIL	0.49	300
1	31	iy	ey	dh-SIL	0.734444444444	900
1	32	er	ey	dh-SIL	0.9	90
1	32	er	iy	dh-SIL	0.549	1000
1	32	ey	er	dh-SIL	0.666666666667	60
1	32	ey	iy	dh-SIL	0.43	100
1	32	iy	er	dh-SIL	0.71	600
1	32	iy	ey	dh-SIL	0.855555555556	90
1	33	er	ey	dh-SIL	0.837777777778	450
1	33	er	iy	dh-SIL	0.632	500
1	33	ey	er	dh-SIL	0.493333333333	300
1	33	ey	iy	dh-SIL	0.665	1000
1	33	iy	er	dh-SIL	0.386666666667	300
1	33	iy	ey	dh-SIL	0.513333333333	900
20	1	er	ey	dh-SIL	0.619341563786	486
20	1	er	iy	dh-SIL	0.475	600
20	1	ey	er	dh-SIL	0.833333333333	270
20	1	ey	iy	dh-SIL	0.384444444444	900
20	1	iy	er	dh-SIL	0.616666666667	300
20	1	iy	ey	dh-SIL	0.733333333333	810
20	23	er	ey	dh-SIL	0.871111111111	450
20	23	er	iy	dh-SIL	0.786	500
20	23	ey	er	dh-SIL	0.636	250
20	23	ey	iy	dh-SIL	0.473	1000
20	23	iy	er	dh-SIL	0.388	250
20	23	iy	ey	dh-SIL	0.588888888889	900
20	24	er	ey	dh-SIL	0.893650793651	630
20	24	er	iy	dh-SIL	0.69	700
20	24	ey	er	dh-SIL	0.505714285714	350
20	24	ey	iy	dh-SIL	0.446	1000
20	24	iy	er	dh-SIL	0.682857142857	350
20	24	iy	ey	dh-SIL	0.731111111111	900
20	25	er	ey	dh-SIL	0.806944444444	720
20	25	er	iy	dh-SIL	0.6975	800
20	25	ey	er	dh-SIL	0.845	400
20	25	ey	iy	dh-SIL	0.516	1000
20	25	iy	er	dh-SIL	0.6275	400
20	25	iy	ey	dh-SIL	0.635555555556	900
20	26	er	ey	dh-SIL	0.892592592593	540
20	26	er	iy	dh-SIL	0.786666666667	600
20	26	ey	er	dh-SIL	0.793333333333	300
20	26	ey	iy	dh-SIL	0.482	1000
20	26	iy	er	dh-SIL	0.54	300
20	26	iy	ey	dh-SIL	0.657777777778	900
20	27	er	ey	dh-SIL	0.897777777778	900
20	27	er	iy	dh-SIL	0.781	1000
20	27	ey	er	dh-SIL	0.802	500
20	27	ey	iy	dh-SIL	0.592	1000
20	27	iy	er	dh-SIL	0.738	500
20	27	iy	ey	dh-SIL	0.626666666667	900
20	29	er	ey	dh-SIL	0.963492063492	630
20	29	er	iy	dh-SIL	0.771428571429	700
20	29	ey	er	dh-SIL	0.691428571429	350
20	29	ey	iy	dh-SIL	0.381	1000
20	29	iy	er	dh-SIL	0.677142857143	350
20	29	iy	ey	dh-SIL	0.758888888889	900
20	30	er	ey	dh-SIL	0.797777777778	450
20	30	er	iy	dh-SIL	0.678	500
20	30	ey	er	dh-SIL	0.776	250
20	30	ey	iy	dh-SIL	0.52	1000
20	30	iy	er	dh-SIL	0.652	250
20	30	iy	ey	dh-SIL	0.735555555556	900
20	31	er	ey	dh-SIL	0.666666666667	450
20	31	er	iy	dh-SIL	0.752	500
20	31	ey	er	dh-SIL	0.82	250
20	31	ey	iy	dh-SIL	0.485	1000
20	31	iy	er	dh-SIL	0.468	250
20	31	iy	ey	dh-SIL	0.573333333333	900
20	32	er	ey	dh-SIL	0.822222222222	90
20	32	er	iy	dh-SIL	0.486	1000
20	32	ey	er	dh-SIL	0.76	50
20	32	ey	iy	dh-SIL	0.29	100
20	32	iy	er	dh-SIL	0.67	500
20	32	iy	ey	dh-SIL	0.733333333333	90
20	33	er	ey	dh-SIL	0.833333333333	450
20	33	er	iy	dh-SIL	0.744	500
20	33	ey	er	dh-SIL	0.836	250
20	33	ey	iy	dh-SIL	0.624	1000
20	33	iy	er	dh-SIL	0.656	250
20	33	iy	ey	dh-SIL	0.465555555556	900
23	1	er	ey	dh-SIL	0.561111111111	540
23	1	er	iy	dh-SIL	0.451666666667	600
23	1	ey	er	dh-SIL	0.755555555556	270
23	1	ey	iy	dh-SIL	0.505555555556	900
23	1	iy	er	dh-SIL	0.64	300
23	1	iy	ey	dh-SIL	0.695555555556	900
23	20	er	ey	dh-SIL	0.777777777778	450
23	20	er	iy	dh-SIL	0.58	500
23	20	ey	er	dh-SIL	0.688888888889	225
23	20	ey	iy	dh-SIL	0.55	900
23	20	iy	er	dh-SIL	0.66	250
23	20	iy	ey	dh-SIL	0.564444444444	900
23	24	er	ey	dh-SIL	0.828571428571	700
23	24	er	iy	dh-SIL	0.565714285714	700
23	24	ey	er	dh-SIL	0.551428571429	350
23	24	ey	iy	dh-SIL	0.384	1000
23	24	iy	er	dh-SIL	0.768571428571	350
23	24	iy	ey	dh-SIL	0.674	1000
23	25	er	ey	dh-SIL	0.695	800
23	25	er	iy	dh-SIL	0.5575	800
23	25	ey	er	dh-SIL	0.7925	400
23	25	ey	iy	dh-SIL	0.668	1000
23	25	iy	er	dh-SIL	0.76	400
23	25	iy	ey	dh-SIL	0.67	1000
23	26	er	ey	dh-SIL	0.796666666667	600
23	26	er	iy	dh-SIL	0.661666666667	600
23	26	ey	er	dh-SIL	0.81	300
23	26	ey	iy	dh-SIL	0.616	1000
23	26	iy	er	dh-SIL	0.64	300
23	26	iy	ey	dh-SIL	0.529	1000
23	27	er	ey	dh-SIL	0.75	1000
23	27	er	iy	dh-SIL	0.6	1000
23	27	ey	er	dh-SIL	0.958	500
23	27	ey	iy	dh-SIL	0.69	1000
23	27	iy	er	dh-SIL	0.92	500
23	27	iy	ey	dh-SIL	0.613	1000
23	29	er	ey	dh-SIL	0.93	700
23	29	er	iy	dh-SIL	0.66	700
23	29	ey	er	dh-SIL	0.537142857143	350
23	29	ey	iy	dh-SIL	0.441	1000
23	29	iy	er	dh-SIL	0.691428571429	350
23	29	iy	ey	dh-SIL	0.773	1000
23	30	er	ey	dh-SIL	0.77	500
23	30	er	iy	dh-SIL	0.534	500
23	30	ey	er	dh-SIL	0.796	250
23	30	ey	iy	dh-SIL	0.604	1000
23	30	iy	er	dh-SIL	0.716	250
23	30	iy	ey	dh-SIL	0.758	1000
23	31	er	ey	dh-SIL	0.708	500
23	31	er	iy	dh-SIL	0.772	500
23	31	ey	er	dh-SIL	0.592	250
23	31	ey	iy	dh-SIL	0.743	1000
23	31	iy	er	dh-SIL	0.432	250
23	31	iy	ey	dh-SIL	0.614	1000
23	32	er	ey	dh-SIL	0.64	100
23	32	er	iy	dh-SIL	0.512	1000
23	32	ey	er	dh-SIL	0.94	50
23	32	ey	iy	dh-SIL	0.33	100
23	32	iy	er	dh-SIL	0.804	500
23	32	iy	ey	dh-SIL	0.79	100
23	33	er	ey	dh-SIL	0.796	500
23	33	er	iy	dh-SIL	0.616	500
23	33	ey	er	dh-SIL	0.84	250
23	33	ey	iy	dh-SIL	0.743	1000
23	33	iy	er	dh-SIL	0.644	250
23	33	iy	ey	dh-SIL	0.579	1000
24	1	er	ey	dh-SIL	0.438888888889	540
